cluster_uuid,center_lat,center_lon,singular,plural,combined_dict,is_dump,combined_string
223945a9-c4d9-480d-8ccc-80fd0c5047aa,52.6345698038737,-3.0045011043548584,1,2,"{'food.sweetWrappers': 2, 'brands.nestle': 2, 'food.crisp_small': 1}",True,"food.sweetWrappers 2, brands.nestle 2, food.crisp_small 1"
223a96bc-b9e0-475a-b9d1-04543688003d,52.76613235473633,-3.453883409500122,1,0,"{'softdrinks.energy_can': 1, 'brands.redbull': 1}",False,"softdrinks.energy_can 1, brands.redbull 1"
223a9b81-346f-46ab-a0ea-2969945ea2f1,48.345404882803294,16.326771567156413,3,0,"{'smoking.butts': 2, 'other.plastic': 1}",False,"smoking.butts 2, other.plastic 1"
223d959f-484e-44aa-ab18-a6588c42dd8e,51.55202833,-9.26433833,0,2,{'other.dump': 2},True,other.dump 2
223f708b-7dbe-4ab7-b11b-c999cc98c6b8,52.484997222222226,4.677133333333333,1,0,"{'softdrinks.energy_can': 1, 'brands.redbull': 1}",False,"softdrinks.energy_can 1, brands.redbull 1"
2254bd0d-4f66-4ef7-bd36-036e165752a9,52.656491,-3.1376512,7,1,"{'food.sweetWrappers': 1, 'softdrinks.waterBottle': 1, 'brands.tesco': 1, 'brands.wrigleys': 1, 'smoking.butts': 1, 'smoking.cigaretteBox': 1, 'other.elec_small': 1, 'other.plastic': 1, 'coastal.microplastics': 1, 'coastal.rope_small': 1}",True,"food.sweetWrappers 1, softdrinks.waterBottle 1, brands.tesco 1, brands.wrigleys 1, smoking.butts 1, smoking.cigaretteBox 1, other.elec_small 1, other.plastic 1, coastal.microplastics 1, coastal.rope_small 1"
2256c9b5-b563-4270-b2df-df7ac3363f98,52.42148399986111,-3.0298986,8,0,"{'food.foodOther': 5, 'other.paper': 1, 'smoking.butts': 1, 'smoking.smoking_plastic': 1}",True,"food.foodOther 5, other.paper 1, smoking.butts 1, smoking.smoking_plastic 1"
227c7f9b-b118-4d24-9429-566de80eb141,52.50007962962963,4.774162037037037,3,0,"{'softdrinks.energy_can': 1, 'brands.redbull': 1, 'alcohol.beerCan': 2}",False,"softdrinks.energy_can 1, brands.redbull 1, alcohol.beerCan 2"
2287ce9e-a9df-4233-aa2a-80279825448b,52.47701574074071,4.677797839506173,9,0,"{'softdrinks.energy_can': 3, 'brands.redbull': 2, 'softdrinks.tinCan': 3, 'softdrinks.waterBottle': 2, 'sanitary.facemask': 1}",True,"softdrinks.energy_can 3, brands.redbull 2, softdrinks.tinCan 3, softdrinks.waterBottle 2, sanitary.facemask 1"
22915756-2e76-4a80-8714-ff888a7dc8ad,52.45977805555553,4.805822222222221,2,0,"{'other.balloons': 1, 'softdrinks.energy_can': 1}",False,"other.balloons 1, softdrinks.energy_can 1"
22941b47-7be2-4dc8-b3bb-1666b8ab8077,11.93001651763916,108.4419174194336,7,0,"{'smoking.butts': 6, 'food.plasticCutlery': 1}",True,"smoking.butts 6, food.plasticCutlery 1"
